Isotope,conc,Coh b,Inc b,Coh xs,Inc xs,Scatt xs,Abs xs
H,---,-3.7390,---,1.7568,80.26,82.02,0.3326
He,---,3.26(3),---,1.34,0,1.34,0.00747
Li,---,-1.90,---,0.454,0.92,1.37,70.5
Be,100,7.79,0.12,7.63,0.0018,7.63,0.0076
B,---,5.30-0.213i,---,3.54,1.7,5.24,767.(8.)
C,---,6.6460,---,5.551,0.001,5.551,0.0035
N,---,9.36,---,11.01,0.5,11.51,1.9
O,---,5.803,---,4.232,0.0008,4.232,0.00019
F,100,5.654,-0.082,4.017,0.0008,4.018,0.0096
Ne,---,4.566,---,2.62,0.008,2.628,0.039
Na,100,3.63,3.59,1.66,1.62,3.28,0.53
Mg,---,5.375,---,3.631,0.08,3.71,0.063
Al,100,3.449,0.256,1.495,0.0082,1.503,0.231
Si,---,4.1491,---,2.163,0.004,2.167,0.171
P,100,5.13,0.2,3.307,0.005,3.312,0.172
S,---,2.847,---,1.0186,0.007,1.026,0.53
Cl,---,9.5770,---,11.5257,5.3,16.8,33.5
Ar,---,1.909,---,0.458,0.225,0.683,0.675
K,---,3.67,---,1.69,0.27,1.96,2.1
Ca,---,4.70,---,2.78,0.05,2.83,0.43
Sc,100,12.29,-6.0,19,4.5,23.5,27.5
Ti,---,-3.438,---,1.485,2.87,4.35,6.09
V,---,-0.3824,---,0.0184,5.08,5.1,5.08
Cr,---,3.635,---,1.66,1.83,3.49,3.05
Mn,100,-3.73,1.79,1.75,0.4,2.15,13.3
Fe,---,9.45,---,11.22,0.4,11.62,2.56
Co,100,2.49,-6.2,0.779,4.8,5.6,37.18
Ni,---,10.3,---,13.3,5.2,18.5,4.49
Cu,---,7.718,---,7.485,0.55,8.03,3.78
Zn,---,5.680,---,4.054,0.077,4.131,1.11
Ga,---,7.288,---,6.675,0.16,6.83,2.75
Ge,---,8.185,---,8.42,0.18,8.6,2.2
As,100,6.58,-0.69,5.44,0.06,5.5,4.5
Se,---,7.970,---,7.98,0.32,8.3,11.7
Br,---,6.795,---,5.8,0.1,5.9,6.9
Kr,---,7.81,---,7.67,0.01,7.68,25.(1.)
Rb,---,7.09,---,6.32,0.5,6.8,0.38
Sr,---,7.02,---,6.19,0.06,6.25,1.28
Y,100,7.75,1.1,7.55,0.15,7.7,1.28
Zr,---,7.16,---,6.44,0.02,6.46,0.185
Nb,100,7.054,-0.139,6.253,0.0024,6.255,1.15
Mo,---,6.715,---,5.67,0.04,5.71,2.48
Tc,(2.3E5 a),6.8,---,5.8,0.5,6.3,20.(1.)
Ru,---,7.03,---,6.21,0.4,6.6,2.56
Rh,100,5.88,---,4.34,0.3,4.6,144.8
Pd,---,5.91,---,4.39,0.093,4.48,6.9
Ag,---,5.922,---,4.407,0.58,4.99,63.3
Cd,---,4.87-0.70i,---,3.04,3.46,6.5,2520.(50.)
In,---,4.065-0.0539i,---,2.08,0.54,2.62,193.8(1.5)
Sn,---,6.225,---,4.871,0.022,4.892,0.626
Sb,---,5.57,---,3.9,0.007,3.9,4.91
Te,---,5.80,---,4.23,0.09,4.32,4.7
I,100,5.28,1.58,3.5,0.31,3.81,6.15
Xe,---,4.92,3.04,2.96,0,---,23.9(1.2)
Cs,100,5.42,1.29,3.69,0.21,3.9,29.0(1.5)
Ba,---,5.07,---,3.23,0.15,3.38,1.1
La,---,8.24,---,8.53,1.13,9.66,8.97
Ce,---,4.84,---,2.94,0.001,2.94,0.63
Pr,100,4.58,-0.35,2.64,0.015,2.66,11.5
Nd,---,7.69,---,7.43,9.2,16.6,50.5(1.2)
Pm,(2.62 a),12.6,(+/-)3.2(2.5),20.0(1.3),1.3(2.0),21.3(1.5),168.4(3.5)
Sm,---,0.80-1.65i,---,0.422,39.(3.),39.(3.),5922.(56.)
Eu,---,7.22-1.26i,---,6.57,2.5,9.2,4530.(40.)
Gd,---,6.5-13.82i,---,29.3,151.(2.),180.(2.),49700.(125.)
Tb,100,7.38,-0.17,6.84,0.004,6.84,23.4
Dy,---,16.9-0.276i,---,35.9,54.4(1.2),90.3,994.(13.)
Ho,100,8.01,-1.70,8.06,0.36,8.42,64.7(1.2)
Er,---,7.79,---,7.63,1.1,8.7,159.(4.)
Tm,100,7.07,0.9,6.28,0.1,6.38,100.(2.)
Yb,---,12.43,---,19.42,4,23.4,34.8
Lu,---,7.21,---,6.53,0.7,7.2,74.(2.)
Hf,---,7.7,---,7.6,2.6,10.2,104.1
Ta,---,6.91,---,6,0.01,6.01,20.6
W,---,4.86,---,2.97,1.63,4.6,18.3
Re,---,9.2,---,10.6,0.9,11.5,89.7(1.)
Os,---,10.7,---,14.4,0.3,14.7,16
Ir,---,10.6,---,14.1,0.(3.),14.(3.),425.(2.)
Pt,---,9.60,---,11.58,0.13,11.71,10.3
Au,100,7.63,-1.84,7.32,0.43,7.75,98.65
Hg,---,12.692,---,20.24,6.6,26.8,372.3(4.0)
Tl,---,8.776,---,9.678,0.21,9.89,3.43
Pb,---,9.405,---,11.115,0.003,11.118,0.171
Bi,100,8.532,---,9.148,0.0084,9.156,0.0338
Po,---,---,0.259,0,---,---,---
At,---,---,---,0,---,---,---
Rn,---,---,---,0,---,12.6,---
Fr,---,---,---,0,---,---,---
Ra,(1.60E3 a),10.0(1.0),0,13.(3.),0,13.(3.),12.8(1.5)
Ac,---,---,---,0,---,---,---
Th,100,10.31,0,13.36,0,13.36,7.37
Pa,(3.28E4 a),9.1,---,10.4,0.1(3.3),10.5(3.2),200.6(2.3)
U,---,8.417,---,8.903,0.005,8.908,7.57
Np,(2.14E6 a),10.55,---,14,0.5,14.5,175.9(2.9)
Pu,---,---,---,---,---,---,---
Am,(7.37E3 a),8.3,(+/-)2.(7.),8.7,0.3,9.0(2.6),75.3(1.8)
Cm,---,---,---,0,---,---,---